Hokkaido,5381733
Aomori,1308265
Iwate,1279594
Miyagi,2333899
Akita,1023119
Yamagata,1123891
Fukushima,1914039
Ibaraki,2916976
Tochigi,1974255
Gunma,1973115
Saitama,7266534
Chiba,6222666
Tokyo,13515271
Kanagawa,9126214
Niigata,2304264
Toyama,1066328
Ishikawa,1154008
Fukui,786740
Yamanashi,834930
Nagano,2098804
Gifu,2031903
Shizuoka,3700305
Aichi,7483128
Mie,1815865
Shiga,1412916
Kyoto,2610353
Osaka,8839469
Hyogo,5534800
Nara,1364316
Wakayama,963579
Tottori,573441
Shimane,694352
Okayama,1921525
Hiroshima,2843990
Yamaguchi,1404729
Tokushima,755733
Kagawa,976263
Ehime,1385262
Kochi,728276
Fukuoka,5101556
Saga,832832
Nagasaki,1377187
Kumamoto,1786170
Oita,1166338
Miyazaki,1104069
Kagoshima,1648177
Okinawa,1433566
China,1433783700
India,1366417800
US,329064900
Indonesia,270625600
Pakistan,216565300
Brazil,211049500
Nigeria,200963600
Bangladesh,163046200
Russian Federation,145872300
Mexico,127575500
Japan,126860300
Ethiopia,112078700
Philippines,108116600
Egypt,100388100
Viet Nam,96462100
Dem. Rep. of the Congo,86790600
Germany,83517000
Turkey,83429600
Iran Islamic Republic of,82913900
Thailand,69625600
United Kingdom,67530200
France,65129700
Italy,60550100
South Africa,58558300
United Rep. of Tanzania,58005500
Myanmar,54045400
Kenya,52574000
Republic of Korea,51225300
Colombia,50339400
Spain,46736800
Argentina,44780700
Uganda,44269600
Ukraine,43993600
Algeria,43053100
Sudan,42813200
Iraq,39309800
Afghanistan,38041800
Poland,37887800
Canada,37411000
Morocco,36471800
Saudi Arabia,34268500
Uzbekistan,32981700
Peru,32510500
Malaysia,31949800
Angola,31825300
Ghana,30417900
Mozambique,30366000
Yemen,29161900
Nepal,28608700
Venezuela Boliv. Rep. of,28515800
Madagascar,26969300
Cameroon,25876400
Côte d’Ivoire,25716500
Dem. People's Rep. Korea,25666200
Australia,25203200
Niger,23310700
Sri Lanka,21323700
Burkina Faso,20321400
Mali,19658000
Romania,19364600
Chile,18952000
Malawi,18628700
Kazakhstan,18551400
Zambia,17861000
Guatemala,17581500
Ecuador,17373700
