Province/State,Country/Region,Lat,Long,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20
Kanagawa,Japan,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,4,5,7,8,10,13,17,17,18,18,20,24,25,25,27,32,33,33,37,42,43,43,43,45,50,51,52,53,57,60,62,66,71,74,77,79,79,87,93,98,114,126,130,140,158,176,194,204,216
Tokyo,Japan,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,14,19,19,22,25,25,28,29,29,32,32,35,36,36,37,39,39,40,44,52,58,64,64,64,67,73,75,77,87,90,90,102,111,118,129,136,138,154,171,212,259,299,362,430,443,521,587,684,773,891
Aichi,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,6,7,8,9,11,15,17,17,20,25,27,28,29,32,32,41,49,57,62,69,80,86,99,104,111,114,121,121,123,125,130,134,139,141,143,145,148,154,157,160,164,167,170,179,183,189,201,202
Nara,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,11,11,11,13,17,20,21,24
Hokkaido,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,5,5,8,18,26,30,36,39,54,66,70,73,77,79,83,86,93,99,105,112,121,130,132,142,146,150,152,152,155,158,158,161,162,163,166,167,168,172,172,176,177,179,183,188,192,193
Osaka,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,5,5,7,9,18,19,32,42,56,56,74,81,90,93,103,107,109,113,118,120,124,126,132,135,143,150,157,177,192,209,217,245,279,312,347,347
unresolved,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,6,7,7,8,8,8,8,8,8,8,8,8,8,9,9,10,12,12,12,12,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Chiba,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,4,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,8,11,13,13,13,15,16,16,16,16,17,17,18,18,19,23,24,25,25,28,30,32,35,35,35,35,37,39,45,46,46,51,52,57,61,67,72,135,177,183,194,201,216,220,245
Mie,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,11,11,12,13,13,13
Kyoto,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,6,7,8,8,12,13,15,17,17,17,17,17,19,21,21,22,23,24,25,27,31,34,35,40,47,67,69,76,88,106,109
